Algorithm,classification,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1,test_acc,test_prec,test_rec,test_f1
Naive Bayes,ER,0.2730560578661845,0.7191895568778391,0.2730560578661845,0.1506299750836786,0.2554347826086957,0.8128415300546448,0.2554347826086957,0.11122804812918223,0.2756756756756757,0.43608636569530423,0.2756756756756757,0.1461071008897096
Decision Tree,ER,0.7721518987341772,0.7532572786527195,0.7721518987341772,0.757377061308436,0.7934782608695652,0.7769360269360269,0.7934782608695652,0.7652941176470588,0.7189189189189189,0.6940437580437581,0.7189189189189189,0.7006896185409123
KNN,ER,0.8191681735985533,0.8085639405227343,0.8191681735985533,0.8037072706614545,0.8043478260869565,0.7907072368421053,0.8043478260869565,0.7915119363395225,0.6810810810810811,0.651665759719451,0.6810810810810811,0.662039985641789
Logistic Regression,ER,0.7649186256781193,0.7536880175121348,0.7649186256781193,0.6928938922425822,0.7663043478260869,0.7740223463687151,0.7663043478260869,0.6874806705016391,0.7135135135135136,0.6179374905631889,0.7135135135135136,0.6210208190366253
Random Forest,ER,0.8245931283905967,0.8578895404182133,0.8245931283905967,0.7867888485330264,0.8206521739130435,0.8552631578947367,0.8206521739130435,0.780072404146783,0.7243243243243244,0.6660743616544722,0.7243243243243244,0.627101907101907
SVM,ER,0.8173598553345389,0.8429900831496114,0.8173598553345389,0.7779966361013986,0.842391304347826,0.8697604790419161,0.842391304347826,0.8136091595107989,0.7027027027027027,0.6348352790660483,0.7027027027027027,0.6422210595404035
XGBoost,ER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Naive Bayes,PR,0.36528028933092227,0.6654917611772008,0.36528028933092227,0.21827884587933916,0.3641304347826087,0.7706699928724162,0.3641304347826087,0.20093013632902088,0.34594594594594597,0.4449192208968745,0.34594594594594597,0.2045849874371309
Decision Tree,PR,0.7197106690777577,0.729740858156726,0.7197106690777577,0.6776385748669405,0.7119565217391305,0.7619530759452963,0.7119565217391305,0.6516932719436097,0.6108108108108108,0.5614909026673732,0.6108108108108108,0.5686723219569935
KNN,PR,0.7739602169981917,0.7690078656297497,0.7739602169981917,0.7688238906114913,0.7608695652173914,0.7556374784635654,0.7608695652173914,0.7533795136330141,0.5783783783783784,0.5557317317317316,0.5783783783783784,0.5640180476529161
Logistic Regression,PR,0.650994575045208,0.6091640970210295,0.650994575045208,0.5637039368106276,0.6521739130434783,0.6274753379612714,0.6521739130434783,0.5705314009661836,0.6648648648648648,0.635790820406205,0.6648648648648648,0.5920596458527494
