train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1,test_acc,test_prec,test_rec,test_f1,Algorithm,classification
0.5688405797101449,0.5879557500354089,0.5688405797101449,0.5440690383829346,0.42391304347826086,0.625,0.42391304347826086,0.44679708934748896,0.43783783783783786,0.5862512955433309,0.43783783783783786,0.45950297918093325,Naive Bayes,ER
0.9553140096618358,0.9553166661804603,0.9553140096618358,0.9553139444822873,0.9402173913043478,0.9395101434933203,0.9402173913043478,0.9395312311223872,0.5945945945945946,0.6065666995899553,0.5945945945945946,0.6002130199564548,Decision Tree,ER
0.7294685990338164,0.7302423603793466,0.7294685990338164,0.7292411183519024,0.6847826086956522,0.7365618661257607,0.6847826086956522,0.7015471750241745,0.5675675675675675,0.6152505359325225,0.5675675675675675,0.5855760572841482,KNN,ER
0.643719806763285,0.6520677585238323,0.643719806763285,0.6387621547676267,0.7228260869565217,0.7415433403805498,0.7228260869565217,0.7305039492713317,0.6432432432432432,0.6432432432432432,0.6432432432432432,0.6432432432432432,Logistic Regression,ER
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7135135135135136,0.6518593781751676,0.7135135135135136,0.6493521011553798,Random Forest,ER
0.5,0.25,0.5,0.3333333333333333,0.75,0.5625,0.75,0.6428571428571428,0.7243243243243244,0.524645726807889,0.7243243243243244,0.6085232567991189,SVM,ER
0.9842995169082126,0.9844380117539262,0.9842995169082126,0.9842983946844435,0.9456521739130435,0.9482089552238806,0.9456521739130435,0.9463848039215688,,,,,XGBoost,ER
0.6546112115732369,0.6230692114613711,0.6546112115732369,0.6112500758097406,0.6304347826086957,0.5942684496567506,0.6304347826086957,0.5895954517072529,0.6,0.5551081282624907,0.6,0.5647407407407408,Naive Bayes,PR
0.6853526220614828,0.7317557514086789,0.6853526220614828,0.5994221377520267,0.6956521739130435,0.7936031984007996,0.6956521739130435,0.6127080655778816,0.6162162162162163,0.5347752317948893,0.6162162162162163,0.5422660223718114,Decision Tree,PR
0.7739602169981917,0.7690078656297497,0.7739602169981917,0.7688238906114913,0.7608695652173914,0.7556374784635654,0.7608695652173914,0.7533795136330141,0.5783783783783784,0.5557317317317316,0.5783783783783784,0.5640180476529161,KNN,PR
0.6600361663652803,0.6299212520712317,0.6600361663652803,0.6036655849642336,0.6630434782608695,0.6421195652173913,0.6630434782608695,0.6098738400583881,0.6486486486486487,0.6055258156707433,0.6486486486486487,0.5913102087099895,Logistic Regression,PR
0.8083182640144665,0.8520134554434269,0.8083182640144665,0.7846220169067735,0.7989130434782609,0.846914446002805,0.7989130434782609,0.7733807763556046,0.6378378378378379,0.5627544360102499,0.6378378378378379,0.5494202504441412,Random Forest,PR
0.7323688969258589,0.7628880792657987,0.7323688969258589,0.6867367961362038,0.75,0.8055555555555556,0.75,0.7071428571428571,0.6810810810810811,0.6648162099381612,0.6810810810810811,0.6244721501687446,SVM,PR
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,XGBoost,PR
0.5962389380530974,0.6264738233534668,0.5962389380530974,0.5705742638685537,0.375,0.6713362068965517,0.375,0.43550497121925696,0.3945945945945946,0.6750913075237399,0.3945945945945946,0.458919853879083,Naive Bayes,HER2
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7081081081081081,0.7544744744744745,0.7081081081081081,0.7280430806746597,Decision Tree,HER2
0.9059734513274337,0.9174673719920072,0.9059734513274337,0.9053217692162678,0.7282608695652174,0.7604264770224473,0.7282608695652174,0.742541454497976,0.6270270270270271,0.7426366707616707,0.627027027027027,0.6694281650071123,KNN,HER2
0.6504424778761062,0.6622637525076549,0.6504424778761062,0.6439578628298509,0.7065217391304348,0.7838450225204524,0.7065217391304348,0.7349837575027429,0.6756756756756757,0.7443308101780446,0.6756756756756757,0.7039661612832345,Logistic Regression,HER2
0.9988938053097345,0.9988962472406181,0.9988938053097345,0.9988938039561192,1.0,1.0,1.0,1.0,0.7783783783783784,0.7151979046715888,0.7783783783783784,0.7423127743127744,Random Forest,HER2
0.5,0.25,0.5,0.3333333333333333,0.8315217391304348,0.6914284026465028,0.8315217391304348,0.7550316088246679,0.8324324324324325,0.6929437545653763,0.8324324324324325,0.7563102925934785,SVM,HER2
1.0,1.0,1.0,1.0,0.9945652173913043,0.9946005081874647,0.9945652173913043,0.9945295214303461,,,,,XGBoost,HER2
0.6130198915009042,0.557753188909449,0.6130198915009042,0.5566073267586872,0.592391304347826,0.46640953716690037,0.592391304347826,0.521904811733724,0.5297297297297298,0.46507112375533427,0.5297297297297298,0.46708782033976276,Naive Bayes,Mol Subtype
0.6871609403254972,0.6785738535192922,0.6871609403254972,0.5968168652027447,0.7010869565217391,0.7071266069622996,0.7010869565217391,0.618128006351282,0.5783783783783784,0.5378502869520834,0.5783783783783784,0.4838400738400738,Decision Tree,Mol Subtype
0.6528028933092225,0.5349718192737688,0.6528028933092225,0.5217606484845361,0.6521739130434783,0.49016563146997927,0.6521739130434783,0.5410732188913465,0.6108108108108108,0.37511750881316097,0.6108108108108108,0.4647920647920648,KNN,Mol Subtype
0.6654611211573237,0.7326663114215746,0.6654611211573237,0.5488784482300999,0.6793478260869565,0.7186524141244296,0.6793478260869565,0.5646836966305327,0.6108108108108108,0.4543222998279178,0.6108108108108108,0.484145239609157,Logistic Regression,Mol Subtype
0.9909584086799277,0.991082266095271,0.9909584086799277,0.990928625745714,1.0,1.0,1.0,1.0,0.5891891891891892,0.3678363446319247,0.5891891891891892,0.4529141386284243,Random Forest,Mol Subtype
