train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1,test_acc,test_prec,test_rec,test_f1,Algorithm,classification
0.7323688969258589,0.6932232705592168,0.7323688969258589,0.7019504085332068,0.7391304347826086,0.7005208333333334,0.7391304347826086,0.7077660594439117,0.6648648648648648,0.6088797658417912,0.6648648648648648,0.6270782900919888,Naive Bayes,ER
0.7920433996383364,0.8002694405872429,0.7920433996383364,0.7423482498548101,0.7771739130434783,0.754579077139838,0.7771739130434783,0.7364819151704398,0.6864864864864865,0.5704707842638878,0.6864864864864865,0.6057111153885348,Decision Tree,ER
0.8191681735985533,0.8085639405227343,0.8191681735985533,0.8037072706614545,0.8043478260869565,0.7907072368421053,0.8043478260869565,0.7915119363395225,0.6810810810810811,0.651665759719451,0.6810810810810811,0.662039985641789,KNN,ER
0.7649186256781193,0.7497584211408576,0.7649186256781193,0.6951972482080471,0.7663043478260869,0.7740223463687151,0.7663043478260869,0.6874806705016391,0.7135135135135136,0.6179374905631889,0.7135135135135136,0.6210208190366253,Logistic Regression,ER
0.9493670886075949,0.9525746033564351,0.9493670886075949,0.9473597539335147,0.9565217391304348,0.958904109589041,0.9565217391304348,0.955063715627096,0.6972972972972973,0.6276061776061775,0.6972972972972973,0.6386611777340254,Random Forest,ER
0.7486437613019892,0.5604674813363897,0.7486437613019892,0.6410310593154571,0.75,0.5625,0.75,0.6428571428571428,0.7243243243243244,0.524645726807889,0.7243243243243244,0.6085232567991189,SVM,ER
0.6546112115732369,0.6230692114613711,0.6546112115732369,0.6112500758097406,0.6304347826086957,0.5942684496567506,0.6304347826086957,0.5895954517072529,0.6,0.5551081282624907,0.6,0.5647407407407408,Naive Bayes,PR
0.7034358047016275,0.7767277248208129,0.7034358047016275,0.6263999868764499,0.717391304347826,0.8038363171355499,0.717391304347826,0.6510567632850242,0.6,0.4959414504324684,0.6,0.519749322493225,Decision Tree,PR
0.7739602169981917,0.7690078656297497,0.7739602169981917,0.7688238906114913,0.7608695652173914,0.7556374784635654,0.7608695652173914,0.7533795136330141,0.5783783783783784,0.5557317317317316,0.5783783783783784,0.5640180476529161,KNN,PR
0.6600361663652803,0.6299529387979738,0.6600361663652803,0.6052291415050367,0.6630434782608695,0.6421195652173913,0.6630434782608695,0.6098738400583881,0.6486486486486487,0.6055258156707433,0.6486486486486487,0.5913102087099895,Logistic Regression,PR
0.9710669077757685,0.9723013863773358,0.9710669077757685,0.9707600377929033,0.9619565217391305,0.9640869565217391,0.9619565217391305,0.9614392556808015,0.6756756756756757,0.6660796134480345,0.6756756756756757,0.5994930652464899,Random Forest,PR
