val_rec,val_f1,test_acc,test_prec,test_rec,test_f1,Algorithm,classification,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec
0.5869565217391305,0.6072389754951358,0.5627705627705628,0.6953599621666849,0.5627705627705628,0.5913211379759105,Naive Bayes,ER,0.6835748792270532,0.7130552546045504,0.6835748792270532,0.672236760199919,0.5869565217391305,0.6638421709753232
0.9565217391304348,0.9557771288292167,0.922077922077922,0.9244328872120435,0.922077922077922,0.9229209387104125,Decision Tree,ER,0.966183574879227,0.9662270976776753,0.966183574879227,0.966182785660941,0.9565217391304348,0.9571006452391002
0.9492753623188406,0.9494676615942494,0.9696969696969697,0.9695686447047608,0.9696969696969697,0.9696088817000984,KNN,ER,0.966183574879227,0.9662270976776753,0.966183574879227,0.966182785660941,0.9492753623188406,0.9497781721384206
0.9782608695652174,0.9781743273113166,0.987012987012987,0.9871345642926249,0.987012987012987,0.987049665310535,Logistic Regression,ER,0.9806763285024155,0.9812266355140188,0.9806763285024155,0.9806708025235342,0.9782608695652174,0.9782151029748284
0.9782608695652174,0.9779883192731992,0.948051948051948,0.948051948051948,0.948051948051948,0.948051948051948,Random Forest,ER,0.9915458937198067,0.991686460807601,0.9915458937198067,0.9915452894454696,0.9782608695652174,0.9789002557544757
0.9855072463768116,0.9853890160183066,0.9913419913419913,0.9914409400123686,0.9913419913419913,0.9912909232328471,SVM,ER,0.9818840579710145,0.9825174825174825,0.9818840579710145,0.9818781105960526,0.9855072463768116,0.9857942315970728
0.9855072463768116,0.9853890160183066,,,,,XGBoost,ER,0.9915458937198067,0.991686460807601,0.9915458937198067,0.9915452894454696,0.9855072463768116,0.9857942315970728
1.0,1.0,0.9826839826839827,0.9826839826839827,0.9826839826839827,0.9826839826839827,CatBoost,ER,1.0,1.0,1.0,1.0,1.0,1.0
0.6304347826086957,0.6075853799351602,0.6493506493506493,0.6204348138049796,0.6493506493506493,0.6272919958379899,Naive Bayes,PR,0.6962025316455697,0.6811855564556163,0.6962025316455697,0.6728673994718386,0.6304347826086957,0.6159748180208537
0.8333333333333334,0.82821708998061,0.8658008658008658,0.8642010163749294,0.8658008658008658,0.8645454404183872,Decision Tree,PR,0.8933092224231465,0.8999601903222227,0.8933092224231465,0.889456745633654,0.8333333333333334,0.839781746031746
0.8768115942028986,0.8730300230291467,0.9047619047619048,0.9088912664001352,0.9047619047619048,0.9013989287014406,KNN,PR,0.8842676311030742,0.8905056352313736,0.8842676311030742,0.8799685497349533,0.8768115942028986,0.88704494478951
0.8840579710144928,0.8792869172147618,0.8961038961038961,0.8953474628756756,0.8961038961038961,0.8944759465886225,Logistic Regression,PR,0.8969258589511754,0.9059918118273061,0.8969258589511754,0.8927690073974531,0.8840579710144928,0.9027960767091202
1.0,1.0,0.8961038961038961,0.8979098047564777,0.8961038961038961,0.8929872004574279,Random Forest,PR,1.0,1.0,1.0,1.0,1.0,1.0
0.8695652173913043,0.8631852551984878,0.9177489177489178,0.9241371544540768,0.9177489177489178,0.9146172975960212,SVM,PR,0.8842676311030742,0.895973231711341,0.8842676311030742,0.878693770554413,0.8695652173913043,0.8928110202324581
0.8913043478260869,0.8879676673786587,,,,,XGBoost,PR,0.9204339963833634,0.9262091573573257,0.9204339963833634,0.9181143737382436,0.8913043478260869,0.9027993443754313
1.0,1.0,0.8744588744588745,0.8734653258418229,0.8744588744588745,0.8716291170352689,CatBoost,PR,1.0,1.0,1.0,1.0,1.0,1.0
0.43478260869565216,0.506219806763285,0.3722943722943723,0.6468289787438724,0.3722943722943723,0.4346194036526511,Naive Bayes,HER2,0.6117256637168141,0.6459995010969471,0.6117256637168141,0.5875177931895146,0.43478260869565216,0.689225910693302
0.9782608695652174,0.9780547394732617,0.8484848484848485,0.8499980550044736,0.8484848484848485,0.8492212884163891,Decision Tree,HER2,0.9933628318584071,0.9933724914341654,0.9933628318584071,0.9933627993715217,0.9782608695652174,0.9780396736918475
0.8913043478260869,0.8793587794129017,0.8138528138528138,0.7975520178745985,0.8138528138528138,0.8041971116788306,KNN,HER2,0.9070796460176991,0.9082305819524072,0.9070796460176991,0.9070141065830721,0.8913043478260869,0.8825150501672241
0.8623188405797102,0.8610133499973237,0.7748917748917749,0.7512653184294975,0.7748917748917749,0.7616838943369555,Logistic Regression,HER2,0.8517699115044248,0.8637412693592468,0.8517699115044248,0.8505401657264969,0.8623188405797102,0.8598325989630337
0.9927536231884058,0.9926849131577538,0.8311688311688312,0.7953683484656936,0.8311688311688312,0.772597506410456,Random Forest,HER2,0.9988938053097345,0.9988962472406181,0.9988938053097345,0.9988938039561192,0.9927536231884058,0.9928155580329493
1.0,1.0,0.9913419913419913,0.9914317116389655,0.9913419913419913,0.9912535381285381,SVM,HER2,1.0,1.0,1.0,1.0,1.0,1.0
0.9855072463768116,0.9852241156588982,,,,,XGBoost,HER2,0.9988938053097345,0.9988962472406181,0.9988938053097345,0.9988938039561192,0.9855072463768116,0.9857528862687299
1.0,1.0,0.9307359307359307,0.9284952903043355,0.9307359307359307,0.9275983275983276,CatBoost,HER2,1.0,1.0,1.0,1.0,1.0,1.0
0.8405797101449275,0.8488353434005609,0.8225108225108225,0.8561282747618153,0.8225108225108225,0.8376453482171303,Naive Bayes,Mol Subtype,0.8842676311030742,0.9013459792205746,0.8842676311030742,0.8902053236041958,0.8405797101449275,0.8642644850936054
1.0,1.0,0.9567099567099567,0.9609121037692467,0.9567099567099567,0.9577409762261929,Decision Tree,Mol Subtype,0.9981916817359855,0.9981966909278527,0.9981916817359855,0.9981879950105585,1.0,1.0
